Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|DK1,Actual Total Load [MW] - BZN|DK1
01.01.2019 00:00 - 01.01.2019 01:00,1857,1898
01.01.2019 01:00 - 01.01.2019 02:00,1819,1838
01.01.2019 02:00 - 01.01.2019 03:00,1755,1779
01.01.2019 03:00 - 01.01.2019 04:00,1709,1726
01.01.2019 04:00 - 01.01.2019 05:00,1685,1710
01.01.2019 05:00 - 01.01.2019 06:00,1706,1716
01.01.2019 06:00 - 01.01.2019 07:00,1726,1765
01.01.2019 07:00 - 01.01.2019 08:00,1777,1820
01.01.2019 08:00 - 01.01.2019 09:00,1901,1883
01.01.2019 09:00 - 01.01.2019 10:00,1979,1943
01.01.2019 10:00 - 01.01.2019 11:00,2062,2043
01.01.2019 11:00 - 01.01.2019 12:00,2132,2101
01.01.2019 12:00 - 01.01.2019 13:00,2143,2151
01.01.2019 13:00 - 01.01.2019 14:00,2133,2174
01.01.2019 14:00 - 01.01.2019 15:00,2201,2189
01.01.2019 15:00 - 01.01.2019 16:00,2197,2135
01.01.2019 16:00 - 01.01.2019 17:00,2341,2414
01.01.2019 17:00 - 01.01.2019 18:00,2576,2512
01.01.2019 18:00 - 01.01.2019 19:00,2469,2526
01.01.2019 19:00 - 01.01.2019 20:00,2367,2412
01.01.2019 20:00 - 01.01.2019 21:00,2267,2300
01.01.2019 21:00 - 01.01.2019 22:00,2179,2145
01.01.2019 22:00 - 01.01.2019 23:00,2054,2012
01.01.2019 23:00 - 02.01.2019 00:00,1980,1854
02.01.2019 00:00 - 02.01.2019 01:00,1788,1748
02.01.2019 01:00 - 02.01.2019 02:00,1716,1694
02.01.2019 02:00 - 02.01.2019 03:00,1714,1658
02.01.2019 03:00 - 02.01.2019 04:00,1713,1673
02.01.2019 04:00 - 02.01.2019 05:00,1806,1739
02.01.2019 05:00 - 02.01.2019 06:00,1907,1853
02.01.2019 06:00 - 02.01.2019 07:00,2272,2207
02.01.2019 07:00 - 02.01.2019 08:00,2641,2533
02.01.2019 08:00 - 02.01.2019 09:00,2710,2736
02.01.2019 09:00 - 02.01.2019 10:00,2798,2797
02.01.2019 10:00 - 02.01.2019 11:00,2827,2763
02.01.2019 11:00 - 02.01.2019 12:00,2803,2770
02.01.2019 12:00 - 02.01.2019 13:00,2722,2656
