"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"01.01.2019 00:00 - 01.01.2019 01:00","0","n/e","n/e","586","n/e","n/e","2302","n/e","n/e"
"01.01.2019 01:00 - 01.01.2019 02:00","0","n/e","n/e","627","n/e","n/e","2342","n/e","n/e"
"01.01.2019 02:00 - 01.01.2019 03:00","0","n/e","n/e","254","n/e","n/e","2227","n/e","n/e"
"01.01.2019 03:00 - 01.01.2019 04:00","0","n/e","n/e","233","n/e","n/e","2163","n/e","n/e"
"01.01.2019 04:00 - 01.01.2019 05:00","0","n/e","n/e","233","n/e","n/e","2108","n/e","n/e"
"01.01.2019 05:00 - 01.01.2019 06:00","0","n/e","n/e","233","n/e","n/e","2142","n/e","n/e"
"01.01.2019 06:00 - 01.01.2019 07:00","0","n/e","n/e","231","n/e","n/e","2317","n/e","n/e"
"01.01.2019 07:00 - 01.01.2019 08:00","0","n/e","n/e","233","n/e","n/e","2278","n/e","n/e"
"01.01.2019 08:00 - 01.01.2019 09:00","0","n/e","n/e","231","n/e","n/e","2272","n/e","n/e"
"01.01.2019 09:00 - 01.01.2019 10:00","14","n/e","n/e","226","n/e","n/e","2638","n/e","n/e"
"01.01.2019 10:00 - 01.01.2019 11:00","51","n/e","n/e","221","n/e","n/e","2645","n/e","n/e"
"01.01.2019 11:00 - 01.01.2019 12:00","84","n/e","n/e","417","n/e","n/e","2644","n/e","n/e"
"01.01.2019 12:00 - 01.01.2019 13:00","91","n/e","n/e","442","n/e","n/e","2611","n/e","n/e"
"01.01.2019 13:00 - 01.01.2019 14:00","77","n/e","n/e","141","n/e","n/e","2640","n/e","n/e"
"01.01.2019 14:00 - 01.01.2019 15:00","41","n/e","n/e","97","n/e","n/e","2743","n/e","n/e"
"01.01.2019 15:00 - 01.01.2019 16:00","8","n/e","n/e","89","n/e","n/e","2718","n/e","n/e"
"01.01.2019 16:00 - 01.01.2019 17:00","0","n/e","n/e","460","n/e","n/e","2818","n/e","n/e"
"01.01.2019 17:00 - 01.01.2019 18:00","0","n/e","n/e","476","n/e","n/e","2931","n/e","n/e"
