"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DK1","Actual Total Load [MW] - BZN|DK1"
"01.01.2015 00:00 - 01.01.2015 01:00","1870","1877"
"01.01.2015 01:00 - 01.01.2015 02:00","1841","1843"
"01.01.2015 02:00 - 01.01.2015 03:00","1785","1795"
"01.01.2015 03:00 - 01.01.2015 04:00","1735","1745"
"01.01.2015 04:00 - 01.01.2015 05:00","1734","1743"
"01.01.2015 05:00 - 01.01.2015 06:00","1753","1751"
"01.01.2015 06:00 - 01.01.2015 07:00","1771","1767"
"01.01.2015 07:00 - 01.01.2015 08:00","1837","1903"
"01.01.2015 08:00 - 01.01.2015 09:00","1924","1985"
"01.01.2015 09:00 - 01.01.2015 10:00","2039","2015"
"01.01.2015 10:00 - 01.01.2015 11:00","2153","2102"
"01.01.2015 11:00 - 01.01.2015 12:00","2168","2194"
"01.01.2015 12:00 - 01.01.2015 13:00","2198","2255"
"01.01.2015 13:00 - 01.01.2015 14:00","2232","2263"
"01.01.2015 14:00 - 01.01.2015 15:00","2246","2233"
"01.01.2015 15:00 - 01.01.2015 16:00","2273","2304"
"01.01.2015 16:00 - 01.01.2015 17:00","2482","2486"
"01.01.2015 17:00 - 01.01.2015 18:00","2662","2633"
"01.01.2015 18:00 - 01.01.2015 19:00","2613","2627"
"01.01.2015 19:00 - 01.01.2015 20:00","2474","2510"
"01.01.2015 20:00 - 01.01.2015 21:00","2350","2361"
"01.01.2015 21:00 - 01.01.2015 22:00","2256","2263"
"01.01.2015 22:00 - 01.01.2015 23:00","2090","2110"
"01.01.2015 23:00 - 02.01.2015 00:00","1942","1976"
"02.01.2015 00:00 - 02.01.2015 01:00","1828","1852"
"02.01.2015 01:00 - 02.01.2015 02:00","1700","1711"
"02.01.2015 02:00 - 02.01.2015 03:00","1670","1683"
"02.01.2015 03:00 - 02.01.2015 04:00","1680","1682"
"02.01.2015 04:00 - 02.01.2015 05:00","1695","1701"
"02.01.2015 05:00 - 02.01.2015 06:00","1754","1774"
"02.01.2015 06:00 - 02.01.2015 07:00","2065","2071"
"02.01.2015 07:00 - 02.01.2015 08:00","2329","2294"
"02.01.2015 08:00 - 02.01.2015 09:00","2482","2504"
"02.01.2015 09:00 - 02.01.2015 10:00","2528","2569"
"02.01.2015 10:00 - 02.01.2015 11:00","2619","2674"
"02.01.2015 11:00 - 02.01.2015 12:00","2653","2673"
"02.01.2015 12:00 - 02.01.2015 13:00","2634","2643"
"02.01.2015 13:00 - 02.01.2015 14:00","2599","2626"
"02.01.2015 14:00 - 02.01.2015 15:00","2576","2608"
"02.01.2015 15:00 - 02.01.2015 16:00","2608","2624"
"02.01.2015 16:00 - 02.01.2015 17:00","2766","2805"
"02.01.2015 17:00 - 02.01.2015 18:00","2998","3081"
"02.01.2015 18:00 - 02.01.2015 19:00","2968","3020"
"02.01.2015 19:00 - 02.01.2015 20:00","2811","2804"
"02.01.2015 20:00 - 02.01.2015 21:00","2564","2543"
"02.01.2015 21:00 - 02.01.2015 22:00","2396","2444"
"02.01.2015 22:00 - 02.01.2015 23:00","2258","2251"
"02.01.2015 23:00 - 03.01.2015 00:00","2041","2013"
"03.01.2015 00:00 - 03.01.2015 01:00","1978","1966"
"03.01.2015 01:00 - 03.01.2015 02:00","1914","1925"
"03.01.2015 02:00 - 03.01.2015 03:00","1829","1816"
"03.01.2015 03:00 - 03.01.2015 04:00","1759","1754"
