Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|DK1,Actual Total Load [MW] - BZN|DK1
01.01.2021 00:00 - 01.01.2021 01:00,2043,2077
01.01.2021 01:00 - 01.01.2021 02:00,2018,2043
01.01.2021 02:00 - 01.01.2021 03:00,1947,1966
01.01.2021 03:00 - 01.01.2021 04:00,1879,1916
01.01.2021 04:00 - 01.01.2021 05:00,1846,1893
01.01.2021 05:00 - 01.01.2021 06:00,1857,1903
01.01.2021 06:00 - 01.01.2021 07:00,1938,1957
01.01.2021 07:00 - 01.01.2021 08:00,2010,2010
01.01.2021 08:00 - 01.01.2021 09:00,2076,2081
01.01.2021 09:00 - 01.01.2021 10:00,2163,2150
01.01.2021 10:00 - 01.01.2021 11:00,2270,2267
01.01.2021 11:00 - 01.01.2021 12:00,2355,2332
01.01.2021 12:00 - 01.01.2021 13:00,2360,2354
01.01.2021 13:00 - 01.01.2021 14:00,2328,2334
01.01.2021 14:00 - 01.01.2021 15:00,2341,2342
01.01.2021 15:00 - 01.01.2021 16:00,2349,2372
01.01.2021 16:00 - 01.01.2021 17:00,2530,2500
01.01.2021 17:00 - 01.01.2021 18:00,2698,2691
01.01.2021 18:00 - 01.01.2021 19:00,2641,2669
01.01.2021 19:00 - 01.01.2021 20:00,2521,2524
01.01.2021 20:00 - 01.01.2021 21:00,2393,2369
01.01.2021 21:00 - 01.01.2021 22:00,2275,2270
01.01.2021 22:00 - 01.01.2021 23:00,2201,2140
01.01.2021 23:00 - 02.01.2021 00:00,2123,2012
02.01.2021 00:00 - 02.01.2021 01:00,1940,1942
02.01.2021 01:00 - 02.01.2021 02:00,1880,1887
02.01.2021 02:00 - 02.01.2021 03:00,1879,1868
02.01.2021 03:00 - 02.01.2021 04:00,1944,1864
02.01.2021 04:00 - 02.01.2021 05:00,1980,1882
02.01.2021 05:00 - 02.01.2021 06:00,1984,1938
02.01.2021 06:00 - 02.01.2021 07:00,2080,2039
02.01.2021 07:00 - 02.01.2021 08:00,2193,2168
02.01.2021 08:00 - 02.01.2021 09:00,2332,2316
02.01.2021 09:00 - 02.01.2021 10:00,2440,2454
02.01.2021 10:00 - 02.01.2021 11:00,2523,2537
02.01.2021 11:00 - 02.01.2021 12:00,2556,2562
02.01.2021 12:00 - 02.01.2021 13:00,2542,2552
02.01.2021 13:00 - 02.01.2021 14:00,2521,2528
02.01.2021 14:00 - 02.01.2021 15:00,2515,2510
02.01.2021 15:00 - 02.01.2021 16:00,2491,2506
02.01.2021 16:00 - 02.01.2021 17:00,2659,2699
02.01.2021 17:00 - 02.01.2021 18:00,2918,2944
02.01.2021 18:00 - 02.01.2021 19:00,2905,2877
02.01.2021 19:00 - 02.01.2021 20:00,2668,2655
02.01.2021 20:00 - 02.01.2021 21:00,2487,2486
02.01.2021 21:00 - 02.01.2021 22:00,2328,2340
02.01.2021 22:00 - 02.01.2021 23:00,2190,2217
02.01.2021 23:00 - 03.01.2021 00:00,2062,2088
03.01.2021 00:00 - 03.01.2021 01:00,1973,1995
03.01.2021 01:00 - 03.01.2021 02:00,1907,1934
03.01.2021 02:00 - 03.01.2021 03:00,1881,1890
03.01.2021 03:00 - 03.01.2021 04:00,1909,1971
03.01.2021 04:00 - 03.01.2021 05:00,1991,2001
03.01.2021 05:00 - 03.01.2021 06:00,2038,2059
03.01.2021 06:00 - 03.01.2021 07:00,2123,2143
03.01.2021 07:00 - 03.01.2021 08:00,2297,2324
03.01.2021 08:00 - 03.01.2021 09:00,2475,2484
03.01.2021 09:00 - 03.01.2021 10:00,2600,2591
03.01.2021 10:00 - 03.01.2021 11:00,2631,2672
03.01.2021 11:00 - 03.01.2021 12:00,2680,2706
03.01.2021 12:00 - 03.01.2021 13:00,2686,2724
03.01.2021 13:00 - 03.01.2021 14:00,2687,2691
03.01.2021 14:00 - 03.01.2021 15:00,2681,2710
03.01.2021 15:00 - 03.01.2021 16:00,2723,2730
03.01.2021 16:00 - 03.01.2021 17:00,2891,2888
03.01.2021 17:00 - 03.01.2021 18:00,3140,3134
03.01.2021 18:00 - 03.01.2021 19:00,3040,3001
03.01.2021 19:00 - 03.01.2021 20:00,2823,2837
03.01.2021 20:00 - 03.01.2021 21:00,2679,2707
03.01.2021 21:00 - 03.01.2021 22:00,2589,2580
03.01.2021 22:00 - 03.01.2021 23:00,2542,2406
03.01.2021 23:00 - 04.01.2021 00:00,2486,2254
04.01.2021 00:00 - 04.01.2021 01:00,2185,2216
04.01.2021 01:00 - 04.01.2021 02:00,2177,2215
04.01.2021 02:00 - 04.01.2021 03:00,2165,2127
04.01.2021 03:00 - 04.01.2021 04:00,2163,2181
04.01.2021 04:00 - 04.01.2021 05:00,2230,2252
