"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"01.01.2020 00:00 - 01.01.2020 01:00","0","n/e","n/e","517","n/e","n/e","813","n/e","n/e"
"01.01.2020 01:00 - 01.01.2020 02:00","0","n/e","n/e","621","n/e","n/e","912","n/e","n/e"
"01.01.2020 02:00 - 01.01.2020 03:00","0","n/e","n/e","708","n/e","n/e","1033","n/e","n/e"
"01.01.2020 03:00 - 01.01.2020 04:00","0","n/e","n/e","783","n/e","n/e","1433","n/e","n/e"
"01.01.2020 04:00 - 01.01.2020 05:00","0","n/e","n/e","857","n/e","n/e","1696","n/e","n/e"
"01.01.2020 05:00 - 01.01.2020 06:00","0","n/e","n/e","858","n/e","n/e","1840","n/e","n/e"
"01.01.2020 06:00 - 01.01.2020 07:00","0","n/e","n/e","821","n/e","n/e","1866","n/e","n/e"
"01.01.2020 07:00 - 01.01.2020 08:00","0","n/e","n/e","828","n/e","n/e","1797","n/e","n/e"
"01.01.2020 08:00 - 01.01.2020 09:00","0","n/e","n/e","927","n/e","n/e","1755","n/e","n/e"
"01.01.2020 09:00 - 01.01.2020 10:00","18","n/e","n/e","972","n/e","n/e","1816","n/e","n/e"
"01.01.2020 10:00 - 01.01.2020 11:00","59","n/e","n/e","996","n/e","n/e","1832","n/e","n/e"
"01.01.2020 11:00 - 01.01.2020 12:00","90","n/e","n/e","1008","n/e","n/e","1941","n/e","n/e"
"01.01.2020 12:00 - 01.01.2020 13:00","94","n/e","n/e","1013","n/e","n/e","1984","n/e","n/e"
"01.01.2020 13:00 - 01.01.2020 14:00","76","n/e","n/e","1001","n/e","n/e","1942","n/e","n/e"
"01.01.2020 14:00 - 01.01.2020 15:00","44","n/e","n/e","965","n/e","n/e","1833","n/e","n/e"
"01.01.2020 15:00 - 01.01.2020 16:00","10","n/e","n/e","932","n/e","n/e","1819","n/e","n/e"
"01.01.2020 16:00 - 01.01.2020 17:00","0","n/e","n/e","919","n/e","n/e","1776","n/e","n/e"
"01.01.2020 17:00 - 01.01.2020 18:00","0","n/e","n/e","926","n/e","n/e","1754","n/e","n/e"
"01.01.2020 18:00 - 01.01.2020 19:00","0","n/e","n/e","937","n/e","n/e","1713","n/e","n/e"
"01.01.2020 19:00 - 01.01.2020 20:00","0","n/e","n/e","945","n/e","n/e","1645","n/e","n/e"
"01.01.2020 20:00 - 01.01.2020 21:00","0","n/e","n/e","935","n/e","n/e","1643","n/e","n/e"
"01.01.2020 21:00 - 01.01.2020 22:00","0","n/e","n/e","918","n/e","n/e","1666","n/e","n/e"
"01.01.2020 22:00 - 01.01.2020 23:00","0","n/e","n/e","907","n/e","n/e","1695","n/e","n/e"
"01.01.2020 23:00 - 02.01.2020 00:00","0","n/e","n/e","930","n/e","n/e","1748","n/e","n/e"
"02.01.2020 00:00 - 02.01.2020 01:00","0","n/e","n/e","869","n/e","n/e","2000","n/e","n/e"
"02.01.2020 01:00 - 02.01.2020 02:00","0","n/e","n/e","924","n/e","n/e","1907","n/e","n/e"
"02.01.2020 02:00 - 02.01.2020 03:00","0","n/e","n/e","989","n/e","n/e","1902","n/e","n/e"
"02.01.2020 03:00 - 02.01.2020 04:00","0","n/e","n/e","1013","n/e","n/e","1984","n/e","n/e"
"02.01.2020 04:00 - 02.01.2020 05:00","0","n/e","n/e","1001","n/e","n/e","2097","n/e","n/e"
"02.01.2020 05:00 - 02.01.2020 06:00","0","n/e","n/e","1058","n/e","n/e","2196","n/e","n/e"
"02.01.2020 06:00 - 02.01.2020 07:00","0","n/e","n/e","1102","n/e","n/e","2375","n/e","n/e"
"02.01.2020 07:00 - 02.01.2020 08:00","0","n/e","n/e","1103","n/e","n/e","2426","n/e","n/e"
"02.01.2020 08:00 - 02.01.2020 09:00","0","n/e","n/e","1111","n/e","n/e","2432","n/e","n/e"
